DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
04/23/2025,01:00,FOARDCTY_ALL, 19.87,N
04/23/2025,01:00,FORMOSA_CC1, 35.44,N
04/23/2025,01:00,FORMOSA_CC2, 35.44,N
04/23/2025,01:00,FORMOSA_PUN1, 35.44,N
04/23/2025,01:00,FORMOSA_PUN2, 35.44,N
04/23/2025,01:00,FORTMA_RN, 38.37,N
04/23/2025,01:00,FOXTROT_ALL, 34.62,N
04/23/2025,01:00,FO_FORMOSA11, 35.44,N
04/23/2025,01:00,FO_FORMOSA12, 35.44,N
04/23/2025,01:00,FO_FORMOSG1, 35.44,N
04/23/2025,01:00,FO_FORMOSG10, 35.44,N
04/23/2025,01:00,FO_FORMOSG13, 35.44,N
04/23/2025,01:00,FO_FORMOSG14, 35.44,N
04/23/2025,01:00,FO_FORMOSG15, 35.44,N
04/23/2025,01:00,FO_FORMOSG2, 35.44,N
04/23/2025,01:00,FO_FORMOSG3, 35.44,N
04/23/2025,01:00,FO_FORMOSG4, 35.44,N
04/23/2025,01:00,FO_FORMOSG5, 35.44,N
04/23/2025,01:00,FO_FORMOSG6, 35.44,N
04/23/2025,01:00,FO_FORMOSG7, 35.44,N
04/23/2025,01:00,FO_FORMOSG8, 35.44,N
04/23/2025,01:00,FO_FORMOSG9, 35.44,N
04/23/2025,01:00,FPPYD_FPP_G1, 35.19,N
04/23/2025,01:00,FPPYD_FPP_G2, 35.19,N
04/23/2025,01:00,FPPYD_FPP_G3, 35.18,N
04/23/2025,01:00,FREC_1_CCU, 31.05,N
04/23/2025,01:00,FREC_2_CCU, 31.12,N
04/23/2025,01:00,FREC_CC1, 31.05,N
04/23/2025,01:00,FREC_CC2, 31.12,N
04/23/2025,01:00,FRMRSVLW_RN, 29.56,N
04/23/2025,01:00,FRMR_BS2_RN1, 29.56,N
04/23/2025,01:00,FRNYPP_1_CCU, 29.91,N
04/23/2025,01:00,FRNYPP_2_CCU, 29.91,N
04/23/2025,01:00,FRNYPP_CC1, 29.91,N
04/23/2025,01:00,FRNYPP_CC2, 29.91,N
04/23/2025,01:00,FRONT_EC_CC1, 20.03,N
04/23/2025,01:00,FRONT_EC_RN1, 20.03,N
04/23/2025,01:00,FRONT_EC_RN2, 20.03,N
04/23/2025,01:00,FRONT_EC_RN3, 20.03,N
04/23/2025,01:00,FRYE_SLR_ALL, 14.16,N
04/23/2025,01:00,FTDUNCAN_RN, 50.6,N
04/23/2025,01:00,FTR_CC1, 32.8,N
04/23/2025,01:00,FTR_FTR_G1_4, 32.8,N
04/23/2025,01:00,FTWIND_UNIT1, 34.39,N
04/23/2025,01:00,FWLR_SLR_1, 66.35,N
04/23/2025,01:00,GALO_RN1, 38.75,N
04/23/2025,01:00,GAMBIT_RN, 34.04,N
04/23/2025,01:00,GARC_BESS_RN, 20.22,N
04/23/2025,01:00,GBY_GT, 33.41,N
04/23/2025,01:00,GID_GIDEONG1, 35.46,N
04/23/2025,01:00,GID_GIDEONG2, 35.46,N
04/23/2025,01:00,GID_GIDEONG3, 35.46,N
04/23/2025,01:00,GIGA_ESS_RN, 35.95,N
04/23/2025,01:00,GKS_BESS_RN, 20.46,N
04/23/2025,01:00,GOA_GOATWIND, 41.49,N
04/23/2025,01:00,GOLINDA_UN1, 32.87,N
04/23/2025,01:00,GOMZ_RN, 67.38,N
04/23/2025,01:00,GOODNIT1_ALL, 14.91,N
04/23/2025,01:00,GOODWIN_ESR, 20.05,N
04/23/2025,01:00,GPASTURE_ALL, 22.23,N
04/23/2025,01:00,GRANDVW1_A_B, 14.94,N
04/23/2025,01:00,GRAN_SLR_RN, 34.54,N
04/23/2025,01:00,GRDNE_ESR_RN, 71.2,N
04/23/2025,01:00,GREASWOD_ALL, 63.51,N
04/23/2025,01:00,GREGORY_RN, 31.59,N
04/23/2025,01:00,GRIF_TRL_RN, 21.11,N
04/23/2025,01:00,GRIM_SLR_RN, 32.75,N
04/23/2025,01:00,GRSES_UNIT1, 26.48,N
04/23/2025,01:00,GRSES_UNIT2, 28.41,N
04/23/2025,01:00,GUADG_CC1, 36.69,N
04/23/2025,01:00,GUADG_CC2, 36.69,N
04/23/2025,01:00,GUADG_CCU1, 36.69,N
04/23/2025,01:00,GUADG_CCU2, 36.69,N
04/23/2025,01:00,GUNMTN_NODE, 218.04,N
04/23/2025,01:00,GWEC_G1, 35.94,N
04/23/2025,01:00,GZ_RN, 33.36,N
04/23/2025,01:00,HALO_RN1, 33.6,N
04/23/2025,01:00,HAMI_BESS_RN, 52.64,N
04/23/2025,01:00,HAYSEN1_2, 36.52,N
04/23/2025,01:00,HAYSEN3_4, 36.52,N
04/23/2025,01:00,HB_BUSAVG, 33.19,N
04/23/2025,01:00,HB_HOUSTON, 33.47,N
04/23/2025,01:00,HB_HUBAVG, 35.17,N
04/23/2025,01:00,HB_NORTH, 30.35,N
04/23/2025,01:00,HB_PAN, 14.95,N
04/23/2025,01:00,HB_SOUTH, 34.3,N
04/23/2025,01:00,HB_WEST, 42.56,N
04/23/2025,01:00,HDNLAKES_RN, 33.59,N
04/23/2025,01:00,HEARN_RD_RN, 30.95,N
04/23/2025,01:00,HELIOS_RN, 44.86,N
04/23/2025,01:00,HHGT_KENDAL, 39.82,N
04/23/2025,01:00,HHOLLW2_WND1, 37.59,N
04/23/2025,01:00,HHOLLW3_WND1, 39.37,N
04/23/2025,01:00,HHOLLW4_WND1, 37.59,N
04/23/2025,01:00,HICK_G1_G2, 52.52,N
04/23/2025,01:00,HI_LONEB_RN1, 58.1,N
04/23/2025,01:00,HI_LONE_ALL, 58.1,N
